epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,a,g
0,0.15266910632917782,12.0,12,True,False,exp(((Om+((log((((-(Om))**(-1))-1.0)))**(-1)))*1.0)),[exp mul add Om inv log sub inv neg Om 1.0 1.0],1.0,1.0
0,0.18701993281071208,5.0,5,True,False,((exp(-(((1.0)**(0.5)))))**(2)),[n2 exp neg sqrt 1.0],1.0,1.0
0,0.17759772872556445,13.0,13,True,False,((exp((w-(-((((sigma8)**(-1))+((((1.0)**(0.5)))**(-1))))+1.0))))**(-1)),[inv exp sub w add neg add inv sigma8 inv sqrt 1.0 1.0],1.0,1.0
0,0.33698138286932583,6.0,6,True,True,(log((w-w))*sigma8),[mul log sub w w sigma8],1.0,1.0
0,0.18927874997348318,13.0,13,True,False,(((((g-g)/((sigma8)**(2)))*-((((1.0)**(2))/g))))**(-1)),[inv mul div sub g g n2 sigma8 neg div n2 1.0 g],1.0,
0,0.21364336577532986,4.0,4,True,False,(w+log(sigma8)),[add w log sigma8],1.0,1.0
0,0.0,23.0,23,False,False,log((exp(((((sigma8)**(-1)))**(2)))*(exp((g*(-((((g+g))**(-1)))+(((((((g-g))**(0.5)))**(0.5)))**(0.5)))))-sigma8))),"[log mul exp n2 inv sigma8 sub exp mul g add neg inv add g g sqrt sqrt
 sqrt sub g g sigma8]",1.0,1.0
0,0.23644339871505898,11.0,11,True,True,(exp((((g)**(-1))*g))*log((((sigma8)**(2))*sigma8))),[mul exp mul inv g g log mul n2 sigma8 sigma8],1.0,1.0
0,0.16109076435201006,12.0,12,True,False,exp((((sigma8+((w+-((w*sigma8)))-w)))**(-1))),[exp inv add sigma8 sub add w neg mul w sigma8 w],1.0,1.0
0,0.14243605363225184,13.0,13,True,False,(sigma8*((((Om)**(-1))+(((w)**(0.5))-sigma8))+(Om+sigma8))),[mul sigma8 add add inv Om sub sqrt w sigma8 add Om sigma8],1.0,1.0
0,0.1732129357201392,12.0,12,True,False,exp(((-((((1.0)**(0.5))--((-(((w)**(2)))*1.0)))))**(2))),[exp n2 neg sub sqrt 1.0 neg mul neg n2 w 1.0],1.0,1.0
0,0.20305782507583048,5.0,5,True,False,((w*1.0)*sigma8),[mul mul w 1.0 sigma8],1.0,1.0
0,0.0349214046471001,13.0,13,True,False,(((((Om+((Om)**(0.5)))+-(((sigma8)**(2))))/(w*1.0)))**(-1)),[inv div add add Om sqrt Om neg n2 sigma8 mul w 1.0],1.0,1.0
0,0.20758639322560857,19.0,19,True,False,(((1.0/-(log(w)))/(((exp((a/(((w*((a)**(0.5))))**(2))))/Om))**(2)))-1.0),[sub div div 1.0 neg log w n2 div exp div a n2 mul w sqrt a Om 1.0],1.0,1.0
